district,lat,lon,ndvi,ndbi,ndwi,surface_temp_c,elevation_m,slope_degrees,texture_contrast,texture_homogeneity,land_type,year
Nagpur,21.634003492726976,78.93456350310849,0.316,-0.345,-0.216,29.67,111.54,1.33,0.624,0.681,agricultural,2019
Nagpur,20.679203006577435,78.67928441488006,0.14,0.462,-0.383,41.33,477.49,0.89,0.789,0.688,urban,2012
Nagpur,20.946027111541387,79.11930942254416,-0.08,0.101,-0.143,38.92,233.83,9.12,0.395,0.227,urban,2014
Nagpur,21.364241474735543,78.9802295348036,0.063,0.064,-0.408,42.65,598.07,3.3,0.405,0.571,urban,2016
Nagpur,21.116344684951223,78.9027175722091,0.262,0.236,-0.185,40.41,576.4,7.95,0.132,0.399,urban,2012
Nagpur,21.37992454365697,78.69227595641824,0.78,-0.169,0.012,29.91,236.27,8.75,0.713,0.417,forest,2015
Nagpur,21.215311869344422,79.4648052783706,0.616,-0.287,-0.295,34.56,420.81,2.09,0.124,0.46,agricultural,2014
Nagpur,20.66395796560708,79.31066131033896,0.057,-0.288,0.677,27.51,473.04,2.05,0.397,0.581,water,2014
Nagpur,21.208998092448162,78.7504295710965,0.001,-0.34,0.524,30.81,487.83,2.88,0.359,0.607,water,2017
Nagpur,20.666017520147797,79.25896002171153,-0.076,-0.14,-0.018,37.86,483.51,9.42,0.273,0.663,barren,2014
Nagpur,21.477840739218777,78.89803977152768,0.688,-0.361,0.104,28.83,111.15,6.1,0.394,0.449,forest,2015
Nagpur,20.97489588031476,79.12215654693493,0.877,-0.428,-0.036,27.38,226.1,3.25,0.768,0.657,forest,2017
Nagpur,21.586201372262188,79.14271255569096,-0.463,-0.417,0.543,24.69,521.67,7.18,0.855,0.616,water,2012
Nagpur,21.317103513093517,79.57839178925167,0.74,-0.109,-0.051,22.25,461.9,9.05,0.736,0.55,forest,2013
Nagpur,20.774029947303774,78.85338087513033,-0.446,-0.233,0.442,29.12,403.81,1.53,0.265,0.573,water,2021
Nagpur,21.547453386712707,79.50367298757351,0.834,-0.369,-0.158,29.53,213.57,3.9,0.585,0.653,forest,2016
Nagpur,21.482393779130952,78.83694326629119,0.111,-0.409,-0.483,31.84,170.77,7.1,0.629,0.226,barren,2022
Nagpur,21.059297137063375,79.01178582687908,0.473,-0.233,-0.199,32.41,132.81,4.01,0.712,0.749,agricultural,2011
Nagpur,20.832546284597328,79.0984159340784,0.781,-0.123,-0.313,25.52,497.99,6.1,0.188,0.577,forest,2010
Nagpur,20.832973114926947,79.36150404011437,0.112,0.426,-0.176,35.63,215.48,8.74,0.237,0.456,urban,2011
Nagpur,20.974309054337866,79.54065126314639,0.49,-0.36,-0.247,36.52,376.89,7.18,0.818,0.741,agricultural,2020
Nagpur,21.372534836353346,79.48311064256467,0.51,-0.349,0.127,24.2,236.54,3.03,0.59,0.463,forest,2014
Nagpur,20.78457588411263,78.8882304805955,0.77,-0.418,0.153,24.12,174.95,0.9,0.551,0.268,forest,2023
Nagpur,21.525520533060217,78.7879285191224,0.613,-0.258,0.072,28.09,231.24,2.45,0.873,0.205,forest,2015
Nagpur,20.688134945902494,78.5993993052557,0.279,0.105,-0.192,41.19,393.83,3.18,0.543,0.638,urban,2013
Nagpur,20.668906852787483,78.6393316381067,0.483,-0.447,-0.035,30.14,316.43,1.98,0.539,0.27,agricultural,2019
Nagpur,21.590635453020738,79.36780864254247,0.073,-0.443,0.654,24.54,154.08,5.09,0.472,0.771,water,2018
Nagpur,21.590988579759546,78.90193525884466,0.141,0.173,-0.251,44.31,401.45,5.79,0.286,0.228,urban,2019
Nagpur,20.810470262507305,79.15401799285947,0.077,-0.031,0.086,32.36,517.0,1.4,0.809,0.638,urban,2011
Nagpur,21.008928710489638,79.53980356249978,0.625,-0.429,0.101,25.23,299.27,1.7,0.406,0.723,forest,2017
Nagpur,21.44506596595997,78.72158861709326,0.068,-0.442,0.389,30.9,296.38,0.04,0.319,0.559,water,2014
Nagpur,20.889894572492604,79.31721342129296,0.544,-0.131,0.026,26.72,484.59,4.29,0.707,0.423,forest,2011
Nagpur,21.56332472723035,79.03832427263524,0.068,0.489,-0.255,43.98,566.48,2.42,0.739,0.46,urban,2010
Nagpur,20.928126350731944,79.06963534595761,0.198,0.18,-0.341,34.59,312.72,7.55,0.584,0.613,urban,2017
Nagpur,21.433664719585543,78.84208401096107,-0.082,0.391,0.193,37.29,105.48,1.7,0.622,0.567,urban,2013
Nagpur,21.485366706475425,79.1784533652597,-0.042,-0.225,0.461,28.36,173.64,4.53,0.805,0.453,water,2012
Nagpur,21.061716532932717,78.89358148196847,-0.023,0.249,-0.146,37.18,159.82,4.17,0.158,0.259,urban,2015
Nagpur,21.47712407128525,78.95324569347612,0.87,-0.35,0.031,26.24,452.04,2.6,0.854,0.518,forest,2021
Nagpur,21.46329825652567,79.09598418695113,0.54,-0.231,-0.495,25.8,196.4,6.27,0.884,0.479,forest,2018
Nagpur,21.13001306575979,79.41984004016933,0.498,-0.128,0.123,35.86,248.13,5.45,0.279,0.466,agricultural,2021
Nagpur,21.63176030211535,78.6888936011038,0.858,-0.334,-0.488,28.89,187.14,6.22,0.12,0.44,forest,2016
Nagpur,21.317884390606064,78.62031975606781,0.669,-0.377,0.134,28.95,218.85,0.81,0.602,0.402,forest,2023
Nagpur,21.348765663544643,78.77086304885701,0.353,-0.225,-0.351,36.58,129.3,2.15,0.899,0.46,agricultural,2016
Nagpur,20.81133529269387,78.99093236986697,-0.134,-0.21,0.457,30.63,401.71,3.89,0.546,0.546,water,2014
Nagpur,21.191824593320753,79.13522814642445,0.037,0.141,0.033,38.27,570.16,2.94,0.433,0.672,urban,2015
Nagpur,21.189334378374124,79.4287358799492,-0.079,0.139,-0.31,44.99,254.18,8.84,0.641,0.405,urban,2017
Nagpur,21.38583594498418,79.21590041360074,0.03,-0.436,0.47,26.68,121.02,5.98,0.784,0.429,water,2023
Nagpur,21.216186099576227,79.34467767884041,0.05,-0.015,-0.003,43.11,442.93,0.18,0.273,0.242,urban,2020
Nagpur,21.038758806636682,79.43963869633112,-0.056,0.403,-0.111,40.97,585.7,0.84,0.821,0.276,urban,2020
Nagpur,21.09642342510817,79.012099751997,0.263,0.204,-0.084,41.21,516.38,1.22,0.748,0.489,urban,2016
Nagpur,21.252722280226543,79.15301278108618,0.104,0.467,-0.116,44.39,190.15,7.24,0.75,0.607,urban,2011
Nagpur,21.454164690176817,78.85160361195585,0.017,-0.171,0.361,30.79,307.03,2.54,0.796,0.459,water,2023
Nagpur,21.42729024325857,78.73978791190233,0.302,-0.302,-0.43,35.54,238.04,4.44,0.17,0.372,agricultural,2020
Nagpur,21.285353826377314,79.2519667361217,0.159,0.45,-0.024,42.54,154.49,2.51,0.816,0.629,urban,2020
Nagpur,21.518596325079443,79.38518765475898,0.666,-0.482,0.049,27.43,336.4,9.0,0.369,0.377,forest,2010
Nagpur,21.023345422995558,79.37688642923142,0.106,-0.022,-0.349,40.53,292.52,8.36,0.86,0.683,urban,2015
Nagpur,20.670804112850593,79.37398215039376,0.041,0.0,-0.477,37.01,551.78,2.39,0.265,0.782,urban,2012
Nagpur,20.76135669883634,78.65956701388939,0.629,-0.485,0.142,23.12,375.89,2.74,0.152,0.23,forest,2013
Nagpur,20.965448027587627,78.96930932600829,0.204,0.191,-0.26,37.44,564.47,9.11,0.673,0.731,urban,2022
Nagpur,20.91536169325246,78.68836932623734,0.545,-0.251,-0.163,32.01,593.09,8.21,0.448,0.636,agricultural,2019
Nagpur,21.535493725327562,79.19688752788281,0.041,0.142,-0.488,42.59,279.6,5.8,0.159,0.305,urban,2023
Nagpur,21.427545858815275,78.94353970821955,0.28,0.499,-0.24,35.88,529.18,9.99,0.604,0.677,urban,2022
Nagpur,20.68269328891077,78.80800071196192,0.13,0.4,-0.018,32.28,268.35,1.44,0.286,0.743,urban,2019
Nagpur,21.593402501607724,79.05206522142885,0.024,0.27,-0.126,34.84,182.12,2.37,0.502,0.363,urban,2023
Nagpur,20.906927144433077,78.92305695099898,-0.176,-0.208,-0.27,34.53,239.8,5.71,0.718,0.757,barren,2012
Nagpur,20.794185378217477,79.22424035513188,0.486,-0.129,0.131,28.9,165.96,4.96,0.185,0.407,agricultural,2022
Nagpur,20.851946160280164,78.99095361874744,0.28,0.498,-0.237,39.79,528.13,1.17,0.652,0.445,urban,2020
Nagpur,21.215232683094857,78.99869311454134,-0.454,-0.222,0.426,26.49,160.54,8.65,0.495,0.543,water,2012
Nagpur,21.09515131672955,79.296779125065,-0.023,0.347,-0.411,33.35,455.07,2.09,0.345,0.485,urban,2022
Nagpur,21.459851926421432,78.75285468825604,0.749,-0.242,-0.0,24.34,261.17,4.38,0.346,0.791,forest,2019
Nagpur,21.045099256025786,79.09609420953127,-0.098,-0.074,-0.329,33.49,366.67,8.58,0.689,0.329,urban,2012
Nagpur,21.07751688502661,79.22225050830671,0.224,0.403,0.137,38.62,447.14,1.12,0.552,0.349,urban,2012
Nagpur,21.632596594179898,78.89420610520894,0.603,-0.479,-0.493,22.18,104.17,1.1,0.292,0.333,forest,2018
Nagpur,21.31233845529769,79.45901042477561,-0.049,0.227,0.101,40.81,248.04,5.62,0.672,0.637,urban,2011
Nagpur,21.116048985659976,79.46022973484287,0.648,-0.268,-0.199,34.42,509.11,0.06,0.894,0.31,agricultural,2022
Nagpur,21.640613029303772,78.70298627866062,-0.01,0.186,-0.407,37.14,188.57,3.64,0.399,0.796,urban,2019
Nagpur,20.88633508651595,79.10374699407514,0.19,-0.069,-0.479,33.37,582.74,9.41,0.255,0.297,urban,2018
Nagpur,21.463714626046666,78.87868160560895,0.128,0.033,0.03,36.02,561.07,6.57,0.449,0.674,urban,2019
Nagpur,21.179000664369042,78.68826467156653,0.036,0.462,-0.385,32.55,327.03,8.01,0.717,0.752,urban,2022
Nagpur,21.627840087590982,78.65123365249976,-0.147,-0.189,0.347,25.38,106.15,5.94,0.809,0.602,water,2020
Nagpur,21.209270473812854,78.70820274961689,0.661,-0.174,-0.28,37.74,243.97,8.89,0.805,0.655,agricultural,2017
Nagpur,21.435100449108152,78.71839445987037,0.713,-0.357,0.055,28.07,555.31,0.15,0.747,0.763,forest,2010
Nagpur,21.471408672507597,79.524973949523,-0.067,-0.087,-0.06,40.19,593.46,3.98,0.366,0.575,urban,2017
Nagpur,21.364037994981285,78.69929720884599,-0.018,-0.329,0.617,30.85,345.3,2.17,0.236,0.2,water,2016
Nagpur,20.982764787846833,78.88401336275136,0.598,-0.381,-0.108,25.18,437.34,0.56,0.199,0.5,forest,2017
Nagpur,21.347531040755786,79.34453178648016,0.527,-0.142,-0.016,22.97,132.52,9.75,0.645,0.45,forest,2017
Nagpur,21.560731901770296,79.5773841643661,0.212,0.187,-0.199,32.14,563.28,6.03,0.263,0.752,urban,2011
Nagpur,20.94182455152061,79.45909179046781,0.25,0.499,-0.329,42.95,511.51,2.31,0.179,0.788,urban,2012
Nagpur,21.033849270058415,78.77380406395544,-0.098,-0.087,-0.174,35.1,444.92,5.66,0.162,0.298,urban,2014
Nagpur,21.570412532332973,79.41445772933207,0.817,-0.334,-0.435,25.87,145.42,1.29,0.292,0.716,forest,2019
Nagpur,21.478025783503906,79.43454877986642,0.434,-0.391,-0.116,35.22,596.69,1.32,0.139,0.617,agricultural,2015
Nagpur,21.19392006498182,79.04121475038019,0.171,0.472,-0.142,43.88,583.91,8.47,0.348,0.318,urban,2019
Nagpur,20.803932645719367,79.44880449034972,0.651,-0.46,-0.32,35.52,147.49,3.21,0.41,0.574,agricultural,2017
Nagpur,21.03752776363118,79.17747176123709,0.479,-0.133,-0.172,30.75,170.91,0.04,0.526,0.264,agricultural,2016
Nagpur,21.623432336550472,78.59284448308499,0.01,0.005,0.042,44.31,150.22,1.56,0.868,0.223,urban,2021
Nagpur,21.17448585367882,79.51616906178704,0.249,0.084,0.157,36.12,427.15,0.8,0.294,0.664,urban,2020
Nagpur,20.856480397327566,79.21249040078327,0.672,-0.152,-0.186,29.83,579.92,3.29,0.809,0.709,forest,2022
Nagpur,21.085292512569865,78.64864692298526,0.329,-0.165,-0.378,28.71,300.11,5.77,0.784,0.785,agricultural,2023
Nagpur,21.522647774154112,79.13174391464945,0.2,0.239,-0.186,36.02,351.2,3.39,0.706,0.526,urban,2017
Nagpur,21.372241358107416,78.68373620763624,-0.357,-0.16,0.579,25.65,411.75,3.58,0.776,0.472,water,2016
Nagpur,21.39532660880791,79.0980740563064,0.058,0.49,0.066,34.08,238.88,3.3,0.62,0.654,urban,2017
Nagpur,21.576362027035575,79.01654279443495,0.624,-0.325,-0.413,33.64,576.15,7.93,0.563,0.588,agricultural,2021
Nagpur,21.05011243121976,79.4635290826379,0.033,0.486,0.104,36.2,331.89,4.15,0.219,0.775,urban,2016
Nagpur,20.720130872353582,78.87711431580381,-0.024,0.229,-0.483,41.93,390.46,6.26,0.141,0.327,urban,2014
Nagpur,21.262279358541246,78.77471101250406,0.151,0.24,-0.071,39.14,236.51,2.45,0.21,0.709,urban,2012
Nagpur,20.947579223136277,79.43576479627849,0.571,-0.151,0.02,27.28,303.43,2.62,0.884,0.678,forest,2017
Nagpur,21.641408711514426,78.66481981392965,0.204,0.078,-0.201,34.42,155.53,7.23,0.314,0.692,urban,2023
Nagpur,20.973347270938493,79.51134388771686,0.089,0.381,0.052,41.88,274.5,4.54,0.576,0.784,urban,2016
Nagpur,20.7598502977054,78.93587174146892,0.008,0.493,-0.031,38.03,406.7,2.73,0.319,0.268,urban,2021
Nagpur,21.119583362307825,79.2366975975472,0.205,0.265,-0.428,43.08,400.68,9.61,0.636,0.305,urban,2012
Nagpur,21.241938061696537,78.88266409884116,0.311,-0.494,-0.409,30.52,314.77,4.87,0.21,0.604,agricultural,2019
Nagpur,20.989622491258753,79.20223119844866,-0.492,-0.469,0.496,25.23,288.41,6.28,0.538,0.339,water,2018
Nagpur,21.310175410851564,79.2693376990724,0.244,0.352,-0.113,36.71,282.53,8.79,0.131,0.793,urban,2011
Nagpur,20.718482155840814,79.30232152740231,0.315,-0.258,-0.161,29.06,238.96,8.9,0.54,0.448,agricultural,2023
Nagpur,20.956992444354377,79.03787985088516,0.781,-0.254,-0.143,25.47,396.64,2.33,0.853,0.553,forest,2022
Nagpur,20.71415171485057,78.60079261266749,0.622,-0.435,-0.295,34.8,257.74,7.93,0.204,0.658,agricultural,2021
Nagpur,21.28082456614161,79.03107050610589,0.259,0.249,-0.254,35.02,408.44,5.09,0.893,0.79,urban,2014
Nagpur,21.43057432116279,79.07369589116587,0.696,-0.227,-0.429,24.63,137.64,0.73,0.257,0.491,forest,2015
Nagpur,21.118894538099376,79.55681381534593,0.034,-0.051,-0.115,35.53,407.47,9.77,0.189,0.327,urban,2018
Nagpur,20.7363853575461,78.70162742674584,0.209,0.439,-0.266,44.9,151.42,0.53,0.784,0.756,urban,2020
Nagpur,21.443288977713017,79.18400753238997,0.313,-0.458,-0.353,37.7,433.93,7.79,0.721,0.521,agricultural,2023
Nagpur,21.42263136944829,78.95961691199324,0.026,0.237,-0.127,42.7,590.86,4.11,0.711,0.26,urban,2023
Nagpur,20.975512175414206,78.97895034770909,0.316,-0.355,-0.073,29.19,562.02,0.78,0.844,0.624,agricultural,2011
Nagpur,20.93762318757397,79.35331151043985,0.796,-0.259,-0.03,25.11,343.91,9.9,0.271,0.451,forest,2019
Nagpur,20.902218369575422,79.47942944103147,0.206,0.075,-0.443,32.15,313.73,4.1,0.891,0.482,urban,2016
Nagpur,21.556211089578117,78.86219060047259,-0.205,-0.26,0.348,27.06,572.11,5.9,0.376,0.575,water,2022
Nagpur,21.33000967058837,78.80374328510455,-0.197,-0.117,0.386,29.76,407.24,6.8,0.381,0.388,water,2019
Nagpur,20.84677403279124,79.37827412696328,0.668,-0.425,-0.494,29.76,315.85,9.69,0.212,0.552,forest,2018
Nagpur,20.988398771218122,78.69377564221946,0.213,-0.032,0.138,34.53,406.49,9.86,0.806,0.774,urban,2020
Nagpur,21.11279941953322,79.40023329302599,-0.387,-0.3,0.697,25.2,429.87,3.24,0.373,0.597,water,2014
Nagpur,21.18292074828674,78.7997728064893,-0.038,0.374,-0.455,34.52,428.07,8.55,0.302,0.396,urban,2014
Nagpur,21.25448876052932,78.74085298000061,0.824,-0.191,-0.398,25.71,487.41,3.37,0.606,0.23,forest,2014
Nagpur,21.557554332001477,79.33912839351672,-0.002,-0.358,0.441,30.73,125.07,3.97,0.396,0.371,water,2015
Nagpur,21.101905399517214,78.79382947553228,-0.074,0.329,-0.131,43.71,256.47,5.74,0.501,0.494,urban,2023
Nagpur,21.47328095975701,78.948317715489,0.202,0.171,0.171,35.39,441.37,9.41,0.631,0.723,urban,2020
Nagpur,21.64449848184129,78.65991052088494,0.54,-0.437,-0.125,30.3,471.87,5.28,0.429,0.361,agricultural,2012
Nagpur,20.788584850139564,78.68932518818166,0.517,-0.413,0.18,29.83,427.46,8.8,0.271,0.783,forest,2010
Nagpur,21.32483716542244,79.42042578050437,-0.055,0.244,0.047,36.77,588.95,4.34,0.22,0.48,urban,2018
Nagpur,20.8978986595623,79.54308971000926,0.084,0.256,-0.313,40.4,592.99,0.49,0.809,0.537,urban,2016
Nagpur,20.766938573848904,78.59428753097559,0.493,-0.367,-0.373,30.44,516.42,6.14,0.831,0.339,agricultural,2012
Nagpur,20.9463267572385,78.7378734645836,0.103,0.499,-0.014,36.01,538.43,7.82,0.112,0.69,urban,2021
Nagpur,20.94173696767154,78.83300896141213,-0.009,0.181,-0.203,35.76,186.11,7.62,0.892,0.667,urban,2019
Nagpur,21.32731453544234,78.93764764078362,0.587,-0.445,-0.114,26.84,452.75,6.8,0.334,0.398,forest,2010
Nagpur,21.38462743735118,78.79972862586341,-0.015,0.125,-0.31,33.15,515.07,8.53,0.276,0.239,urban,2022
Nagpur,20.719972630284925,79.5803717144484,0.657,-0.474,-0.342,28.34,502.2,2.07,0.369,0.281,forest,2020
Nagpur,21.021559347803965,79.5706826510611,0.162,0.225,0.036,42.92,503.36,0.17,0.249,0.593,urban,2017
Nagpur,21.438644533837124,79.02084248060403,0.766,-0.117,-0.359,28.91,260.68,9.9,0.226,0.51,forest,2017
Nagpur,20.66196953995452,79.1798688205935,0.687,-0.105,-0.202,26.83,127.27,8.42,0.619,0.442,forest,2016
Nagpur,20.79523190214202,79.16837636979653,-0.095,-0.099,-0.069,34.46,195.94,6.53,0.143,0.388,urban,2022
Nagpur,20.90254160134155,78.68908880210586,0.565,-0.212,-0.321,28.89,139.34,4.26,0.857,0.331,agricultural,2015
Nagpur,21.25892197374156,79.11920312974296,0.542,-0.228,-0.05,36.61,343.21,1.34,0.332,0.597,agricultural,2014
Nagpur,21.031532327899836,79.36730418733865,0.773,-0.245,0.117,26.69,489.3,2.49,0.643,0.741,forest,2019
Nagpur,21.24027385491262,78.93308917417319,0.59,-0.476,-0.093,29.3,583.66,8.11,0.188,0.273,agricultural,2020
Nagpur,20.86229056726612,78.8517729509186,-0.086,0.225,-0.229,33.31,500.96,9.15,0.705,0.693,urban,2013
Nagpur,20.721121432167408,78.61965719524602,0.383,-0.194,0.164,35.17,540.73,6.39,0.41,0.455,agricultural,2019
Nagpur,21.46647538340107,79.0393640036876,0.178,0.163,-0.113,39.25,238.69,4.76,0.477,0.433,urban,2013
Nagpur,21.55516032672497,79.23744273283798,0.141,0.437,0.106,43.58,235.0,0.35,0.309,0.367,urban,2013
Nagpur,20.95557248472405,78.82852288074483,0.533,-0.446,-0.391,27.04,467.71,8.6,0.853,0.321,forest,2022
Nagpur,21.36458903482003,78.80353052752874,0.044,0.449,-0.097,41.6,345.06,0.29,0.151,0.523,urban,2015
Nagpur,20.991196662063597,78.99924078057461,0.189,0.386,-0.212,41.7,302.01,6.78,0.711,0.795,urban,2017
Nagpur,20.93645032936537,78.82177908312187,0.566,-0.418,-0.015,29.34,297.3,1.8,0.328,0.473,forest,2012
Nagpur,21.09164963419872,78.93477798787578,0.194,-0.095,-0.123,42.32,233.11,6.03,0.635,0.593,urban,2018
Nagpur,20.98272687496404,79.34139970191423,0.834,-0.197,-0.275,22.82,135.9,0.94,0.566,0.231,forest,2018
Nagpur,21.16707080689187,79.50959758800019,0.418,-0.195,0.022,30.46,464.41,7.48,0.418,0.326,agricultural,2020
Nagpur,21.36795557931663,79.20327334001851,0.756,-0.431,-0.022,25.42,395.76,7.34,0.512,0.688,forest,2011
Nagpur,20.7866851205704,79.46522727126164,0.36,-0.166,0.155,29.37,344.12,2.59,0.704,0.633,agricultural,2021
Nagpur,20.767885421651233,78.70089786043833,-0.028,0.378,-0.18,36.27,179.12,1.68,0.63,0.53,urban,2010
Nagpur,21.34403298981313,79.51438892143945,0.329,-0.202,-0.002,28.58,380.14,0.85,0.823,0.744,agricultural,2011
Nagpur,20.904440236637324,79.05626086279547,-0.013,-0.169,0.585,26.45,208.9,3.27,0.603,0.304,water,2019
Nagpur,21.540510455426865,78.83673600201284,0.393,-0.265,0.146,35.48,433.21,5.83,0.49,0.312,agricultural,2016
Nagpur,21.302456956622848,79.42520779580312,0.537,-0.2,-0.377,24.98,114.14,1.37,0.239,0.233,forest,2016
Nagpur,21.407474905394185,79.13390301603295,0.049,0.425,-0.351,36.23,175.37,6.21,0.436,0.568,urban,2016
Nagpur,21.113638013124717,79.0075898379684,0.151,0.461,-0.291,36.67,458.85,6.11,0.243,0.426,urban,2015
Nagpur,21.188501247256646,79.38721037135235,-0.029,0.455,0.034,38.26,440.03,8.97,0.209,0.35,urban,2019
Nagpur,21.059444754845398,79.54062069475346,0.315,-0.106,-0.182,31.59,246.36,1.74,0.733,0.773,agricultural,2021
Nagpur,21.46288494691965,79.41314692946055,-0.006,-0.308,0.637,27.48,379.36,0.58,0.657,0.232,water,2011
Nagpur,20.64832754983191,78.68935105791843,0.395,-0.371,-0.163,33.97,243.68,5.92,0.338,0.233,agricultural,2011
Nagpur,21.579058667580856,78.78389853930304,0.217,0.477,-0.201,38.66,173.42,5.51,0.216,0.567,urban,2019
Nagpur,20.94639112278092,79.24482194947313,0.606,-0.491,-0.237,29.11,276.24,1.74,0.399,0.451,agricultural,2011
Nagpur,21.095527308323785,78.86669200335739,0.668,-0.34,-0.365,30.71,527.0,5.72,0.464,0.29,agricultural,2014
Nagpur,20.980015293370762,78.796088354105,0.877,-0.146,-0.441,26.13,212.53,4.11,0.801,0.517,forest,2013
Nagpur,21.167222042348325,79.3671885058996,0.22,0.275,-0.172,34.83,267.12,9.6,0.516,0.44,urban,2012
Nagpur,21.604148583630945,79.02321192743747,0.036,0.007,-0.091,40.65,456.36,8.82,0.397,0.245,urban,2020
Nagpur,20.759738183127986,78.67215166149978,0.149,0.3,-0.117,34.67,477.57,8.04,0.542,0.493,urban,2018
Nagpur,21.02084069824021,78.69512560244725,0.036,0.087,0.168,42.19,429.96,5.18,0.234,0.787,urban,2022
Nagpur,21.50966675598821,79.18443107984235,0.098,0.424,0.121,32.14,543.15,2.71,0.131,0.709,urban,2021
Nagpur,21.495343759554125,79.08802225774859,-0.155,-0.175,0.693,31.12,376.37,9.68,0.897,0.27,water,2020
Nagpur,21.0743638378057,78.9465676323324,0.655,-0.255,-0.461,26.05,535.45,2.13,0.441,0.764,forest,2013
Nagpur,21.303750828119416,79.30592225474349,0.076,0.212,-0.058,42.41,326.05,8.17,0.527,0.403,urban,2014
Nagpur,20.911142474806933,78.8982218462161,0.123,-0.066,-0.381,35.71,241.31,6.73,0.115,0.653,urban,2019
Nagpur,21.06656020777646,79.29489438034251,0.111,0.03,0.119,33.11,322.19,8.49,0.593,0.375,urban,2022
Nagpur,20.706569268396244,78.8253480732365,0.889,-0.143,-0.26,29.99,101.75,0.28,0.759,0.32,forest,2012
Nagpur,21.628064561355696,79.29682040043514,-0.244,-0.208,0.612,25.9,351.64,9.26,0.752,0.394,water,2020
Nagpur,20.98976061358357,79.49633205656063,0.325,-0.486,-0.382,35.28,191.87,5.11,0.175,0.753,agricultural,2022
Nagpur,21.02930902449274,79.5284341928729,0.678,-0.498,-0.175,28.25,554.35,5.18,0.16,0.266,agricultural,2019
Nagpur,20.655890405021882,79.27735723172451,0.577,-0.153,-0.243,28.43,587.16,0.17,0.858,0.421,agricultural,2019
Nagpur,21.604807086764435,79.22693925628924,0.892,-0.114,-0.387,23.45,382.77,6.37,0.692,0.309,forest,2019
Nagpur,21.194738678518675,78.59171085091064,0.239,0.224,-0.21,44.7,391.06,8.67,0.863,0.605,urban,2020
Nagpur,20.688161931952784,79.26214444907302,-0.084,0.021,-0.37,35.31,252.47,3.6,0.436,0.259,urban,2017
Nagpur,21.07180081050241,79.23291683781474,0.115,0.166,-0.056,42.76,313.85,6.41,0.863,0.704,urban,2017
Nagpur,20.688068994235937,79.1749547966914,0.571,-0.276,0.187,26.15,563.82,4.07,0.899,0.548,forest,2022
Nagpur,21.007445327755022,79.18957621144317,0.01,-0.081,0.075,35.58,498.27,2.88,0.255,0.784,urban,2010
Nagpur,21.596350371943757,79.21359762988041,0.144,0.236,0.14,40.77,301.87,8.62,0.245,0.527,urban,2011
Nagpur,20.872991253182217,78.59230145043017,0.227,0.292,0.088,44.28,236.46,1.7,0.487,0.621,urban,2017
Nagpur,21.552542372572557,79.58585033837548,0.037,0.481,-0.014,37.22,196.29,3.56,0.236,0.264,urban,2015
Nagpur,21.358377943247262,79.22315151576099,-0.402,-0.478,0.465,27.69,202.41,3.01,0.261,0.665,water,2011
Nagpur,21.22759126477771,79.11027357113733,0.655,-0.136,0.179,23.39,211.51,5.26,0.173,0.462,forest,2023
Nagpur,20.75073918032795,78.61054678842686,0.032,0.225,0.171,34.68,427.42,0.43,0.153,0.531,urban,2019
Nagpur,21.299599509333618,79.58325275247925,0.369,-0.274,-0.008,30.02,434.13,1.82,0.591,0.447,agricultural,2017
Nagpur,20.75807275832891,79.31494056522932,0.675,-0.498,0.12,28.66,576.52,2.82,0.406,0.255,agricultural,2022
Nagpur,20.887264228199218,78.65051772504918,0.878,-0.256,0.001,28.1,231.41,0.45,0.101,0.41,forest,2010
Nagpur,20.964598361750554,78.63947033246315,0.372,-0.45,0.14,29.4,368.82,5.93,0.535,0.259,agricultural,2022
Nagpur,20.865168065065273,79.32241833952887,0.458,-0.425,-0.107,34.93,366.06,4.34,0.41,0.705,agricultural,2013
Nagpur,21.149976820338043,79.43733663616112,0.203,0.152,-0.292,38.12,146.61,0.46,0.189,0.312,urban,2017
Nagpur,21.204481443937237,79.4381757671096,0.394,-0.126,0.168,37.59,518.78,3.64,0.158,0.541,agricultural,2010
Nagpur,21.1503769678928,79.50466834866606,0.698,-0.297,-0.258,29.86,102.4,5.09,0.544,0.695,agricultural,2022
Nagpur,20.678015360450374,79.05073494329571,-0.123,-0.164,0.374,30.84,437.57,1.7,0.252,0.756,water,2015
Nagpur,21.08456222065163,78.82227620398412,-0.075,-0.234,0.088,31.6,313.45,9.82,0.727,0.738,barren,2011
Nagpur,21.321123526807167,79.52069587451373,0.465,-0.214,-0.423,30.7,123.32,4.32,0.762,0.215,agricultural,2012
Nagpur,21.371558875453278,79.2624365616282,-0.005,0.316,0.183,44.51,217.46,1.0,0.219,0.621,urban,2021
Nagpur,20.857270320049746,78.85394637618666,0.434,-0.432,-0.093,32.84,464.42,4.41,0.371,0.376,agricultural,2017
Nagpur,21.226985342732114,79.5468977413654,0.338,-0.361,-0.474,29.86,473.39,3.25,0.635,0.63,agricultural,2019
Nagpur,21.357987981979495,78.90527376936306,-0.091,0.343,0.171,43.21,183.95,3.27,0.238,0.561,urban,2015
Nagpur,21.203318264667278,79.54508844263297,-0.176,-0.224,0.511,30.83,485.77,0.65,0.597,0.341,water,2016
Nagpur,20.969649630745845,78.80813431383058,0.652,-0.338,-0.296,30.34,366.26,1.14,0.539,0.201,agricultural,2015
